id;url;nama
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28B;Tabel28B Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28C;Tabel28C Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28D;Tabel28D Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28E;Tabel28E Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28F;Tabel28F Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel29;Tabel29 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel30;Tabel30 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel31;Tabel31 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel32;Tabel32 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel33;Tabel33 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel34;Tabel34 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel35;Tabel35 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel35A;Tabel35A Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel35B;Tabel35B Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel35C;Tabel35C Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel36;Tabel36 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel36A;Tabel36A Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel36B;Tabel36B Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel36C;Tabel36C Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel37;Tabel37 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel37A;Tabel37A Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel37B;Tabel37B Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel37C;Tabel37C Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel38;Tabel38 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel38A;Tabel38A Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel38B;Tabel38B Komulatif
